id,SMILES,IC50_mean,IC50_std
26,CC1=C(SC=C1[N+](=O)[O-]),64.0,0.32
27,CCC1=C(SC=C1[N+](=O)[O-]),98.4,0.12
28,C1CC1C2=C(SC=C2[N+](=O)[O-]),97.3,0.98
29,OCCCC1=C(SC=C1[N+](=O)[O-]),3.0,0.41
30,COCCC1=C(SC=C1[N+](=O)[O-]),104.0,0.7
31,COC(CO)CC1=C(SC=C1[N+](=O)[O-]),56.0,0.74
32,COCCCC1=C(SC=C1[N+](=O)[O-]),3.0,0.5
33,CCN(CC)CCC1=C(SC=C1[N+](=O)[O-]),36.0,0.24
34,CN(C)CCC1=C(SC=C1[N+](=O)[O-]),25.0,0.17
35,OCCCOCCC1=C(SC=C1[N+](=O)[O-]),42.0,0.45
36,C=CCC1=C(SC=C1[N+](=O)[O-]),34.3,0.5
37,C#CCC1=C(SC=C1[N+](=O)[O-]),61.2,0.22
38,[H]C([H])([H])C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H],35.8,0.62
39,[H][C]1[C]([H])[C]([H])[C](C([H])([H])C([H])([H])[H])[C]([H])[C]1[H],115.6,0.63
40,[H][C]1[C]([H])[C](C([H])([H])C([H])([H])[H])[C]([H])[C]([H])[C]1OC([H])([H])[H],198.0,0.48
41,[H][C]1[N-][C](C([H])([H])C([H])([H])[H])[C]([H])[C]([H])[C]1[H],228.0,0.9
42,[H][C]1[N-][C]([H])[C](C([H])([H])C([H])([H])[H])[C]([H])[C]1[H],156.0,0.16
