id,SMILES,PesoMolecular,NumAtomos,NumEnlaces,NumAtomosCarbono,NumAtomosOxigeno,NumAtomosNitrogeno,NumAtomosAzufre,NumAtomosHidrogeno,NumHeteroatomos,HDonadores,HAceptores,LogP,TPSA,NumRotables,NumAnillosAromaticos,FraccionSP3,NumAnillos,RadioGiro,AreaSuperficie,NumAtomosHalogenos,IndiceRefractivo,NumAtomosPesados,FraccionC,FraccionO,FraccionN,FraccionS,FraccionH,FraccionHeteroatomos,IC50_mean,IC50_std
3,c1c(oc(c1)c1sc(nn1)NC)[N+](=O)[O-],226.21699999999998,15,16,7,3,4,1,0,8,1,7,1.7479999999999993,94.09,3,2,0.14285714285714285,2,0,87.89871941085151,0,53.8121,15,0.4666666666666667,0.2,0.26666666666666666,0.06666666666666667,0.0,0.5333333333333333,54.0,0.17
4,c1c(oc(c1)c1sc(nn1)NCC)[N+](=O)[O-],240.24399999999997,16,17,8,3,4,1,0,8,1,7,2.1380999999999997,94.09,4,2,0.25,2,0,94.26366152524812,0,58.429100000000005,16,0.5,0.1875,0.25,0.0625,0.0,0.5,50.0,0.8
5,c1c(oc(c1)c1sc(nn1)N1CC1)[N+](=O)[O-],238.22799999999995,16,18,8,3,4,1,0,8,0,7,1.5262999999999995,85.07,3,2,0.25,3,0,93.46780185831423,0,56.47840000000001,16,0.5,0.1875,0.25,0.0625,0.0,0.5,55.5,0.66
6,c1c(oc(c1)c1sc(nn1)NCCO)[N+](=O)[O-],256.243,17,18,8,4,4,1,0,9,2,8,1.1104999999999992,114.32000000000002,5,2,0.25,2,0,99.05789527744415,0,59.840900000000005,17,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.0,0.5294117647058824,21.0,0.65
7,c1c(oc(c1)c1sc(nn1)NCCCO)[N+](=O)[O-],270.27,18,19,9,4,4,1,0,9,2,8,1.500599999999999,114.32000000000002,6,2,0.3333333333333333,2,0,105.42283739184076,0,64.45790000000001,18,0.5,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.0,0.5,18.0,0.2
8,c1c(oc(c1)c1sc(nn1)NCCOC)[N+](=O)[O-],270.27,18,19,9,4,4,1,0,9,1,8,1.7645999999999993,103.32000000000001,6,2,0.3333333333333333,2,0,105.74214886915162,0,64.6311,18,0.5,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.0,0.5,28.0,0.94
9,c1c(oc(c1)c1sc(nn1)NC(C)(OC)OC)[N+](=O)[O-],300.296,20,21,10,5,4,1,0,10,1,9,2.0846999999999993,112.55000000000001,6,2,0.4,2,0,117.22063621305509,0,70.31110000000001,20,0.5,0.25,0.2,0.05,0.0,0.5,13.0,0.53
10,c1c(oc(c1)c1sc(nn1)NCCN(CC)CC)[N+](=O)[O-],311.367,21,22,12,3,5,1,0,9,1,8,2.46,97.33000000000001,8,2,0.5,2,0,125.48326365303794,0,80.54310000000002,21,0.5714285714285714,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.0,0.42857142857142855,44.0,0.72
11,c1c(oc(c1)c1sc(nn1)NCCCN(CC)CC)[N+](=O)[O-],325.39400000000006,22,23,13,3,5,1,0,9,1,8,2.8501000000000003,97.33000000000001,9,2,0.5384615384615384,2,0,131.84820576743456,0,85.16010000000003,22,0.5909090909090909,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.0,0.4090909090909091,13.0,0.43
12,c1c(oc(c1)c1sc(nn1)NC(N(C(C)C)C(C)C)(C)C)[N+](=O)[O-],353.44800000000015,24,25,15,3,5,1,0,9,1,8,3.9731000000000023,97.33000000000001,7,2,0.6,2,0,144.57808999622776,0,94.07810000000005,24,0.625,0.125,0.20833333333333334,0.041666666666666664,0.0,0.375,13.0,0.23
