id,SMILES,IC50_mean,IC50_std
3,c1c(oc(c1)c1sc(nn1)NC)[N+](=O)[O-],54.0,0.17
4,c1c(oc(c1)c1sc(nn1)NCC)[N+](=O)[O-],50.0,0.8
5,c1c(oc(c1)c1sc(nn1)N1CC1)[N+](=O)[O-],55.5,0.66
6,c1c(oc(c1)c1sc(nn1)NCCO)[N+](=O)[O-],21.0,0.65
7,c1c(oc(c1)c1sc(nn1)NCCCO)[N+](=O)[O-],18.0,0.2
8,c1c(oc(c1)c1sc(nn1)NCCOC)[N+](=O)[O-],28.0,0.94
9,c1c(oc(c1)c1sc(nn1)NC(C)(OC)OC)[N+](=O)[O-],13.0,0.53
10,c1c(oc(c1)c1sc(nn1)NCCN(CC)CC)[N+](=O)[O-],44.0,0.72
11,c1c(oc(c1)c1sc(nn1)NCCCN(CC)CC)[N+](=O)[O-],13.0,0.43
12,c1c(oc(c1)c1sc(nn1)NC(N(C(C)C)C(C)C)(C)C)[N+](=O)[O-],13.0,0.23
13,c1c(oc(c1)c1sc(nn1)NCCN(CCCC)CCCC)[N+](=O)[O-],25.0,0.2
14,c1c(oc(c1)c1sc(nn1)NC(CCCN(CC)CC)C)[N+](=O)[O-],33.0,0.76
15,c1c(oc(c1)c1sc(nn1)NC(CC)CO)[N+](=O)[O-],10.0,0.66
16,c1c(oc(c1)c1sc(nn1)NCCOCCO)[N+](=O)[O-],116.0,0.76
17,c1c(oc(c1)c1sc(nn1)NCC=C)[N+](=O)[O-],122.0,0.25
18,c1c(oc(c1)c1sc(nn1)NCC#C)[N+](=O)[O-],40.0,0.61
19,c1c(oc(c1)c1sc(nn1)NCCN1CCCC1)[N+](=O)[O-],110.0,0.45
20,c1c(oc(c1)c1sc(nn1)NCC1OCCC1)[N+](=O)[O-],53.0,0.32
21,c1c(oc(c1)c1sc(nn1)NCc1occc1)[N+](=O)[O-],41.0,0.82
22,c1c(oc(c1)c1sc(nn1)NCc1ccccc1)[N+](=O)[O-],258.0,0.45
23,c1c(oc(c1)c1sc(nn1)NCc1ccc(cc1)OC)[N+](=O)[O-],306.0,0.65
24,c1c(oc(c1)c1sc(nn1)NCc1ncccc1)[N+](=O)[O-],36.0,0.87
25,c1c(oc(c1)c1sc(nn1)NCc1cnccc1)[N+](=O)[O-],26.0,0.6
26,CC1=C(SC=C1[N+](=O)[O-]),64.0,0.32
27,CCC1=C(SC=C1[N+](=O)[O-]),98.4,0.12
28,C1CC1C2=C(SC=C2[N+](=O)[O-]),97.3,0.98
29,OCCCC1=C(SC=C1[N+](=O)[O-]),3.0,0.41
30,COCCC1=C(SC=C1[N+](=O)[O-]),104.0,0.7
31,COC(CO)CC1=C(SC=C1[N+](=O)[O-]),56.0,0.74
32,COCCCC1=C(SC=C1[N+](=O)[O-]),3.0,0.5
33,CCN(CC)CCC1=C(SC=C1[N+](=O)[O-]),36.0,0.24
34,CN(C)CCC1=C(SC=C1[N+](=O)[O-]),25.0,0.17
35,OCCCOCCC1=C(SC=C1[N+](=O)[O-]),42.0,0.45
36,C=CCC1=C(SC=C1[N+](=O)[O-]),34.3,0.5
37,C#CCC1=C(SC=C1[N+](=O)[O-]),61.2,0.22
38,[H]C([H])([H])C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H],35.8,0.62
39,[H][C]1[C]([H])[C]([H])[C](C([H])([H])C([H])([H])[H])[C]([H])[C]1[H],115.6,0.63
40,[H][C]1[C]([H])[C](C([H])([H])C([H])([H])[H])[C]([H])[C]([H])[C]1OC([H])([H])[H],198.0,0.48
41,[H][C]1[N-][C](C([H])([H])C([H])([H])[H])[C]([H])[C]([H])[C]1[H],228.0,0.9
42,[H][C]1[N-][C]([H])[C](C([H])([H])C([H])([H])[H])[C]([H])[C]1[H],156.0,0.16
